name,line,PlaceIsol,drug,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,,
220113_YST6_V11_B_BA_48hr,YST6,V11,BA,7,9,12,0.11,0.18,0.32,45.6,,
211209_YST6_V12_A_BA_48hr,YST6,V12,BA,6,10,12,0.24,0.36,0.31,26.8,,
211209_YST6_V12_B_BA_48hr,YST6,V12,BA,3,7,13,0.26,0.41,0.53,16.1,,
220113_YST6_V12_A_BA_48hr,YST6,V12,BA,5,7,10,0.17,0.24,0.35,35.9,,
220113_YST6_V12_B_BA_48hr,YST6,V12,BA,2,7,8,0.4,0.47,0.4,22,,
211216_YST6_V13_A_BA_48hr,YST6,V13,BA,5,9,11,0.21,0.32,0.29,41.1,,
211216_YST6_V13_B_BA_48hr,YST6,V13,BA,6,9,10,0.32,0.28,0.26,39.5,,
220120_YST6_V13_A_BA_48hr,YST6,V13,BA,7,10,11,0.11,0.27,0.26,38.6,,
220120_YST6_V13_B_BA_48hr,YST6,V13,BA,4,8,12,0.38,0.41,0.45,14.7,,
211216_YST6_V14_A_BA_48hr,YST6,V14,BA,7,9,11,0.36,0.23,0.29,41.6,,
211216_YST6_V14_B_BA_48hr,YST6,V14,BA,3,6,7,0.52,0.48,0.38,33,,
220120_YST6_V14_A_BA_48hr,YST6,V14,BA,5,9,10,0.1,0.34,0.3,28.1,,
220120_YST6_V14_B_BA_48hr,YST6,V14,BA,6,10,11,0.17,0.26,0.26,25.6,,
211216_YST6_V15_A_BA_48hr,YST6,V15,BA,3,8,9,0.29,0.42,0.38,18.7,,
211216_YST6_V15_B_BA_48hr,YST6,V15,BA,6,9,11,0.24,0.29,0.3,36.2,,
220120_YST6_V15_A_BA_48hr,YST6,V15,BA,6,10,11,0.11,0.27,0.27,39.9,,
220120_YST6_V15_B_BA_48hr,YST6,V15,BA,6,9,11,0.1,0.29,0.29,42.6,,
211216_YST6_V16_A_BA_48hr,YST6,V16,BA,5,9,10,0.36,0.33,0.31,34.8,,
211216_YST6_V16_B_BA_48hr,YST6,V16,BA,4,8,10,0.33,0.42,0.35,29.7,,
220120_YST6_V16_A_BA_48hr,YST6,V16,BA,4,8,9,0.11,0.41,0.33,32,,
220120_YST6_V16_B_BA_48hr,YST6,V16,BA,6,7,10,0.31,0.23,0.4,23.6,,
211216_YST6_V17_A_BA_48hr,YST6,V17,BA,6,10,11,0.16,0.28,0.23,38.9,,
211216_YST6_V17_B_BA_48hr,YST6,V17,BA,5,9,10,0.21,0.3,0.26,36.7,,
220120_YST6_V17_A_BA_48hr,YST6,V17,BA,3,8,9,0.2,0.43,0.33,26.1,,
220120_YST6_V17_B_BA_48hr,YST6,V17,BA,4,7,8,0.48,0.38,0.31,23.3,,
211216_YST6_V18_A_BA_48hr,YST6,V18,BA,5,9,11,0.21,0.3,0.32,30,,
211216_YST6_V18_B_BA_48hr,YST6,V18,BA,5,8,10,0.34,0.33,0.32,30.7,,
