"","name","line","PlaceIsol","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","...12","...13","type","replicate"
"114","211126_YST6_R5_A'_FLC_48h","YST6","R5","FLC",0,1,1,NA,NA,NA,5.2,NA,NA,"R",5
"115","211126_YST6_R5_B_FLC_48h","YST6","R5","FLC",1,1,1,NA,NA,NA,2.3,NA,NA,"R",5
"116","220113_YST6_R5_A_FLC_48hr","YST6","R5","FLC",1,1,1,NA,NA,NA,4.6,NA,NA,"R",5
"117","220113_YST6_R5_B_FLC_48hr","YST6","R5","FLC",0,1,1,NA,NA,NA,5.5,NA,NA,"R",5
"118","211126_YST6_R6_A_FLC_48h","YST6","R6","FLC",1,1,1,NA,NA,NA,4.1,NA,NA,"R",6
"119","211126_YST6_R6_B_FLC_48h","YST6","R6","FLC",1,1,1,NA,NA,NA,2.8,NA,NA,"R",6
"120","220113_YST6_R6_A_FLC_48hr","YST6","R6","FLC",1,1,1,NA,NA,NA,2.1,NA,NA,"R",6
"121","220113_YST6_R6_B_FLC_48hr","YST6","R6","FLC",1,1,1,NA,NA,NA,3.4,NA,NA,"R",6
"122","211209_YST6_R7_A_FLC_48hr","YST6","R7","FLC",1,1,1,NA,NA,NA,3.3,NA,NA,"R",7
"123","211209_YST6_R7_B_FLC_48hr","YST6","R7","FLC",1,1,1,NA,NA,NA,3.3,NA,NA,"R",7
"124","220113_YST6_R7_A_FLC_48hr","YST6","R7","FLC",1,1,1,NA,NA,NA,3,NA,NA,"R",7
"125","220113_YST6_R7_B_FLC_48hr","YST6","R7","FLC",1,1,1,NA,NA,NA,3.6,NA,NA,"R",7
"126","211209_YST6_R8_A_FLC_48hr","YST6","R8","FLC",0,1,1,NA,NA,NA,6.2,NA,NA,"R",8
"127","211209_YST6_R8_B_FLC_48hr","YST6","R8","FLC",1,1,1,NA,NA,NA,3.2,NA,NA,"R",8
"128","220113_YST6_R8_A_FLC_48hr","YST6","R8","FLC",0,1,1,NA,NA,NA,5.7,NA,NA,"R",8
"129","220113_YST6_R8_B_FLC_48hr","YST6","R8","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"R",8
"130","211209_YST6_R9_A_FLC_48hr","YST6","R9","FLC",1,1,1,NA,NA,NA,4,NA,NA,"R",9
"131","211209_YST6_R9_B_FLC_48hr","YST6","R9","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"R",9
"132","220113_YST6_R9_A_FLC_48hr","YST6","R9","FLC",1,1,1,NA,NA,NA,2.9,NA,NA,"R",9
"133","220113_YST6_R9_B_FLC_48hr","YST6","R9","FLC",1,1,1,NA,NA,NA,2.1,NA,NA,"R",9
"134","211209_YST6_R10_A_FLC_48hr","YST6","R10","FLC",1,1,1,NA,NA,NA,0.3,NA,NA,"R",10
"135","211209_YST6_R10_B_FLC_48hr","YST6","R10","FLC",1,1,1,NA,NA,NA,3.2,NA,NA,"R",10
"136","220113_YST6_R10_A_FLC_48hr","YST6","R10","FLC",1,1,1,NA,NA,NA,1.6,NA,NA,"R",10
"137","220113_YST6_R10_B_FLC_48hr","YST6","R10","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"R",10
"138","211209_YST6_R11_A_FLC_48hr","YST6","R11","FLC",1,1,1,NA,NA,NA,3.2,NA,NA,"R",11
"139","211209_YST6_R11_B_FLC_48hr","YST6","R11","FLC",1,1,1,NA,NA,NA,3.6,NA,NA,"R",11
"140","220113_YST6_R11_A_FLC_48hr","YST6","R11","FLC",1,1,1,NA,NA,NA,0.2,NA,NA,"R",11
"141","220113_YST6_R11_B_FLC_48hr","YST6","R11","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"R",11
"142","211209_YST6_R12_A_FLC_48hr","YST6","R12","FLC",0,1,1,NA,NA,NA,5.3,NA,NA,"R",12
"143","211209_YST6_R12_B_FLC_48hr","YST6","R12","FLC",1,1,1,NA,NA,NA,3.4,NA,NA,"R",12
"144","220113_YST6_R12_A_FLC_48hr","YST6","R12","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"R",12
"145","220113_YST6_R12_B_FLC_48hr","YST6","R12","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"R",12
"146","211216_YST6_R13_A_FLC_48hr","YST6","R13","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"R",13
"147","211216_YST6_R13_B_FLC_48hr","YST6","R13","FLC",1,1,1,NA,NA,NA,4.8,NA,NA,"R",13
"148","220120_YST6_R13_A_FLC_48hr","YST6","R13","FLC",1,1,1,NA,NA,NA,4.9,NA,NA,"R",13
"149","220120_YST6_R13_B_FLC_48hr","YST6","R13","FLC",0,1,1,NA,NA,NA,5.7,NA,NA,"R",13
"150","211216_YST6_R14_A_FLC_48hr","YST6","R14","FLC",1,1,1,NA,NA,NA,3.2,NA,NA,"R",14
"151","211216_YST6_R14_B_FLC_48hr","YST6","R14","FLC",1,1,1,NA,NA,NA,2.8,NA,NA,"R",14
